# Paquetes instalados explícitamente
# Generado desde: pacman -Qe + pacman -Q
# Fecha: 2026-08-27

7zip 26.02-1
acpi 1.8-2
acpid 2.0.34-2
adobe-source-sans-fonts 3.052-2
alacritty 0.17.0-1
alsa-firmware 1.2.4-4
alsa-utils 1.2.16-1
amd-ucode 20260810-2
apple-music-desktop 2.1.2-1
ark 26.04.3-1
aruba-onboard 1.6.0.2511111-1
audacity 1:3.7.8-4
audiocd-kio 26.04.3-1
avahi 1:0.9rc5-1
awww 0.12.1-1
b43-fwcutter 020-1
base 3-5
base-devel 1-3
bibata-cursor-theme 2.0.7-1
bitwarden 2026.3.1-2
bluedevil 1:6.7.4-1
bpytop 1.0.68-2
brave-bin 1:1.92.144-1
breeze-gtk 6.7.4-1
breeze5 6.7.4-1
brightnessctl 0.5.1-3
btop 1.4.7-1
btrfs-progs 7.1-1
bun 1.3.14-1
cava 0.10.7-1
chafa 1.18.2-2
chezmoi 2.72.0-1
chromium 151.0.7922.173-1
chromium-widevine 1:4.10.2934.0-1
clang 22.1.8-1
cliphist 1:0.7.0-2
cmake 4.4.2-1
cmatrix 2.0-4
cpio 2.15-3
cpupower 7.1.8-1
cronie 1.7.2-2
cryptsetup 2.8.7-1
cursor-bin 3.13.21-1
dbeaver 26.1.5-1
debtap 3.6.3-1
device-mapper 2.03.42-1
diffutils 3.12-2
discord 1:1.0.154-1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.93-1
docker 1:29.7.2-1
docker-compose 5.5.0-1
dolphin 26.04.3-1
dolphin-plugins 26.04.3-1
dosfstools 4.2-5
e2fsprogs 1.47.4-1
ecryptfs-utils 111-9
efibootmgr 18-4
egl-wayland 4:1.1.21-1
elisa 26.04.3-1
elixir 1.20.2-1
erlang 29.0.1-1
etcher-bin 2.1.6-1
ex-vi-compat 3-1
exfatprogs 1.4.3-1
f2fs-tools 1.16.0-3
fabric-cli-git 0.0.2-1
fakeroot 1:1.37.2-3
fastfetch 2.67.1-1
ffmpeg 2:9.0.1-1
ffmpegthumbs 26.04.3-3
filelight 26.04.3-1
firefox 154.0-1
fwupd 2.1.7-1
fzf 0.74.3-1
gimp 3.2.4-2
git-lfs 3.7.1-2
glibc-locales 2.44+r24+g16be1518495f-1
gnome-bluetooth-3.0 47.2-1
gnome-keyring 1:50.0-1
gnome-themes-extra 1:3.28-1
gobject-introspection 1.86.0-2
gparted 1.8.1-2
graphviz 16.0.0-1
grim 1.5.0-2
grub 2:2.14-1
grub-btrfs 4.14-1
grub-theme-manjaro 20.2-16
gst-libav 1.28.6-1
gst-plugins-bad 1.28.6-1
gst-plugins-base 1.28.6-1
gst-plugins-good 1.28.6-1
gst-plugins-ugly 1.28.6-1
gtk3 1:3.24.52-1
gvfs 1.60.2-1
gwenview 26.04.3-1
heroic-games-launcher 2.22.1-2
htop 3.5.3-1
httpie 3.2.4-2
hypridle 0.1.8-1
hyprland 0.56.2-1
hyprlock 0.9.6-2
hyprmod 0.4.0-3
hyprpaper 0.8.4-6
hyprpicker 0.4.7-3
hyprshot 1.3.0-4
inetutils 2.8-1
inotify-tools 4.25.9.0-1
install-grub 2:2.14-1
intel-ucode 20260812-1
inxi 3.3.41.1-2
jdk17-openjdk 17.0.20.1.u1-1
jdk21-openjdk 21.0.12.1.u1-1
jfsutils 1.1.15-9
jupyter-notebook 7.6.2-1
kaccounts-providers 26.04.3-1
kamera 26.04.3-1
kate 26.04.3-1
kcalc 26.04.3-1
kdeconnect 26.04.3-1
kdegraphics-thumbnailers 26.04.3-1
kdenetwork-filesharing 26.04.3-1
kdenlive 26.04.3-2
kdeplasma-addons 6.7.4-1
keditbookmarks 26.04.3-1
kfind 26.04.3-1
kgamma 6.7.4-1
khelpcenter 26.04.3-1
kimageformats 6.29.0-1
kinfocenter 6.7.4-1
kio-extras 26.04.3-1
kitty 0.48.2-1
kmenuedit 6.7.4-1
konsole 26.04.3-1
kscreen 6.7.4-1
kscreenlocker 6.7.4-1
ksshaskpass 6.7.4-1
ksystemlog 26.04.3-1
kvantum 1.1.8-1
kvantum-qt5 1.1.8-1
kwallet-pam 6.7.4-1
kwalletmanager 26.04.3-1
kwayland-integration 6.7.4-1
kwin 6.7.4-5
kwrited 6.7.4-1
less 1:704-1
lib32-alsa-plugins 1.2.12-1
lib32-fontconfig 2:2.18.3-1
lib32-freetype2 2.14.3-1
lib32-libcanberra 1:0.30+r2+gc0620e4-4
lib32-libnm 1.58.0-1
lib32-libpipewire 1:1.6.8-1
lib32-libpng 1.6.58-2
lib32-libva-intel-driver 2.4.5-1
lib32-libxcrypt-compat 4.5.2-1
lib32-libxdamage 1.1.7-1
lib32-libxinerama 1.1.6-1
lib32-libxrandr 1.5.5-1
lib32-libxrender 0.9.12-1
lib32-libxss 1.2.5-1
lib32-mesa 1:26.1.7-1
lib32-mesa-utils 9.0.0-4
lib32-nspr 4.40-1
lib32-nss 3.127-1
lib32-nvidia-utils 610.57.04-1
lib32-pipewire 1:1.6.8-1
lib32-sqlite 3.53.4-1
lib32-vulkan-intel 1:26.1.7-1
lib32-vulkan-nouveau 1:26.1.7-1
lib32-vulkan-radeon 1:26.1.7-1
libadwaita 1:1.9.3-1
libcanberra 1:0.30+r2+gc0620e4-6
libdvdcss 1.6.0-1
libpamac-flatpak-plugin 11.7.4-7
libreoffice-still 25.8.7-5
libva-intel-driver 2.4.5-1
libva-nvidia-driver 0.0.17-1
libxcrypt-compat 4.5.2-1
linux-firmware-meta 20260410-1
linux-lts-nvidia-open-meta 6.1-2
linux618 6.18.45-1
linux618-nvidia-open 610.57.04-7
llvm 22.1.8-2
logrotate 3.22.0-1
lsd 1.2.0-2
lsof 4.99.7-1
lvm2 2.03.42-1
lxappearance 0.6.4-3
mako 1.11.0-1
man-db 2.13.1-2
man-pages 6.18-1
manjaro-alsa 20221002-1
manjaro-application-utility 1.4.1-4
manjaro-browser-settings 20231111-2
manjaro-gstreamer 20221002-1
manjaro-hello 0.8.1-7
manjaro-kde-settings 1:20240501-1
manjaro-modem 20240312-1
manjaro-pipewire 20231009-1
manjaro-printer 20240827-1
manjaro-release 26.1.1-1
manjaro-settings-manager-knotifier 0.5.8-9
manjaro-system 20250814-1
manjaro-zsh-config 0.26-4
mariadb 12.3.2-4
matugen-bin 4.2.0-1
maven 3.9.16-1
mdadm 4.6-2
memtest86+ 7.20-2
memtest86+-efi 7.20-2
mesa-utils 9.0.0-7
mhwd 0.6.6-6
mhwd-db 20260305-1
micro 2.0.15-3
milou 6.7.4-1
mkinitcpio-openswap 0.1.1-1
modemmanager 1.24.2-1
mousepad 0.7.0-1
mpv 1:0.41.0-4
mtpfs 1.1-5
music-presence-bin 2.3.6-5
